type	lat	lon	name	desc
T	45.386050000	9.266580000		
T	45.385980000	9.266670000		
T	45.385810000	9.266930000		
T	45.385750000	9.267000000		
T	45.385450000	9.267340000		
T	45.384330000	9.268650000		
T	45.384310000	9.268690000		
T	45.383880000	9.269190000		
T	45.383640000	9.269470000		
T	45.383580000	9.269540000		
T	45.382580000	9.270710000		
T	45.382060000	9.271320000		
T	45.381430000	9.272060000		
T	45.381310000	9.272200000		
T	45.380780000	9.272830000		
T	45.380430000	9.273240000		
T	45.380040000	9.273700000		
T	45.379080000	9.274820000		
T	45.378940000	9.274990000		
T	45.378760000	9.275200000		
T	45.378160000	9.275900000		
T	45.377500000	9.276670000		
T	45.377200000	9.277030000		
T	45.375960000	9.278470000		
T	45.375590000	9.278900000		
T	45.375480000	9.279030000		
T	45.374720000	9.279920000		
T	45.374510000	9.280180000		
T	45.372520000	9.282510000		
T	45.370580000	9.284790000		
T	45.369840000	9.285660000		
T	45.369400000	9.286180000		
T	45.369090000	9.286520000		
T	45.368940000	9.286710000		
T	45.368830000	9.286840000		
T	45.368020000	9.287790000		
T	45.366400000	9.289680000		
T	45.365120000	9.291190000		
T	45.364420000	9.292010000		
T	45.364220000	9.292250000		
T	45.363590000	9.293010000		
T	45.363060000	9.293610000		
T	45.362640000	9.294100000		
T	45.361910000	9.294960000		
T	45.361510000	9.295420000		
T	45.361270000	9.295700000		
T	45.361170000	9.295810000		
T	45.360840000	9.296200000		
T	45.360210000	9.296940000		
T	45.359940000	9.297280000		
T	45.359370000	9.297940000		
T	45.358730000	9.298690000		
T	45.358370000	9.299110000		
T	45.357620000	9.299990000		
T	45.356320000	9.301520000		
T	45.355040000	9.303020000		
T	45.354160000	9.304050000		
T	45.353820000	9.304460000		
T	45.353120000	9.305260000		
T	45.352610000	9.305830000		
T	45.352160000	9.306330000		
T	45.351780000	9.306760000		
T	45.351620000	9.306950000		
T	45.351270000	9.307350000		
T	45.351070000	9.307600000		
T	45.351010000	9.307660000		
T	45.350930000	9.307750000		
T	45.350810000	9.307870000		
T	45.350670000	9.307990000		
T	45.350590000	9.308040000		
T	45.350540000	9.308070000		
T	45.350370000	9.308170000		
T	45.350310000	9.308200000		
T	45.350110000	9.308320000		
T	45.349830000	9.308500000		
T	45.349650000	9.308620000		
T	45.349270000	9.308970000		
T	45.348770000	9.309530000		
T	45.348680000	9.309660000		
T	45.348600000	9.309780000		
T	45.348530000	9.309900000		
T	45.348470000	9.310000000		
T	45.348460000	9.310020000		
T	45.348350000	9.310210000		
T	45.348260000	9.310360000		
T	45.348010000	9.310790000		
T	45.347820000	9.311110000		
T	45.347480000	9.311670000		
T	45.347320000	9.311900000		
T	45.347040000	9.312290000		
T	45.346740000	9.312720000		
